1,0,72,1470,176,1635,1,-1,-1,-1
1,1,716,1122,775,1217,1,-1,-1,-1
1,2,607,909,637,955,1,-1,-1,-1
1,3,566,865,593,910,1,-1,-1,-1
1,4,561,802,584,830,1,-1,-1,-1
1,5,487,819,510,854,1,-1,-1,-1
1,6,204,900,257,948,1,-1,-1,-1
1,7,612,1008,660,1086,1,-1,-1,-1
1,8,234,1755,376,1919,1,-1,-1,-1
1,9,432,1141,488,1234,1,-1,-1,-1
1,10,408,900,514,1026,1,-1,-1,-1
1,11,367,792,444,864,1,-1,-1,-1
1,12,625,794,689,854,1,-1,-1,-1
2,0,68,1478,171,1643,1,-1,-1,-1
2,1,718,1134,780,1227,1,-1,-1,-1
2,2,607,911,637,959,1,-1,-1,-1
2,3,567,867,593,913,1,-1,-1,-1
2,4,562,800,581,834,1,-1,-1,-1
2,5,486,821,511,856,1,-1,-1,-1
2,6,203,902,261,946,1,-1,-1,-1
2,7,612,1012,660,1093,1,-1,-1,-1
2,9,429,1146,487,1239,1,-1,-1,-1
2,10,404,900,514,1026,1,-1,-1,-1
2,11,367,792,444,864,1,-1,-1,-1
2,12,624,794,689,855,1,-1,-1,-1
3,0,62,1486,166,1655,1,-1,-1,-1
3,1,720,1144,783,1239,1,-1,-1,-1
3,2,606,913,637,962,1,-1,-1,-1
3,3,567,869,593,915,1,-1,-1,-1
3,4,562,801,581,836,1,-1,-1,-1
3,5,484,822,509,856,1,-1,-1,-1
3,6,205,902,262,946,1,-1,-1,-1
3,7,613,1017,661,1100,1,-1,-1,-1
3,9,428,1152,487,1246,1,-1,-1,-1
3,10,402,903,514,1030,1,-1,-1,-1
3,11,367,792,444,864,1,-1,-1,-1
3,12,624,796,690,857,1,-1,-1,-1
4,0,57,1495,162,1666,1,-1,-1,-1
4,1,723,1154,787,1252,1,-1,-1,-1
4,2,607,916,638,965,1,-1,-1,-1
4,3,567,871,593,918,1,-1,-1,-1
4,4,561,802,580,837,1,-1,-1,-1
4,5,484,823,509,858,1,-1,-1,-1
4,6,207,903,263,947,1,-1,-1,-1
4,7,613,1022,662,1106,1,-1,-1,-1
4,9,426,1157,486,1253,1,-1,-1,-1
4,10,398,904,512,1032,1,-1,-1,-1
4,11,367,792,444,864,1,-1,-1,-1
4,12,625,797,691,859,1,-1,-1,-1
5,0,52,1504,158,1678,1,-1,-1,-1
5,1,725,1166,791,1266,1,-1,-1,-1
5,2,608,919,638,968,1,-1,-1,-1
5,3,567,872,593,920,1,-1,-1,-1
5,4,560,803,580,839,1,-1,-1,-1
5,5,483,823,508,859,1,-1,-1,-1
5,6,209,903,265,947,1,-1,-1,-1
5,7,612,1028,662,1113,1,-1,-1,-1
5,9,424,1164,485,1261,1,-1,-1,-1
5,10,397,906,511,1035,1,-1,-1,-1
5,11,367,792,444,864,1,-1,-1,-1
5,12,625,798,691,860,1,-1,-1,-1
6,1,728,1177,794,1280,1,-1,-1,-1
6,2,608,921,639,970,1,-1,-1,-1
6,3,568,875,594,922,1,-1,-1,-1
6,4,559,804,579,840,1,-1,-1,-1
6,5,481,824,506,859,1,-1,-1,-1
6,6,211,904,266,948,1,-1,-1,-1
6,0,47,1512,152,1689,1,-1,-1,-1
6,7,613,1033,663,1119,1,-1,-1,-1
6,9,423,1171,484,1269,1,-1,-1,-1
6,10,396,909,511,1039,1,-1,-1,-1
6,11,367,792,444,864,1,-1,-1,-1
6,12,624,799,691,862,1,-1,-1,-1
7,1,730,1190,797,1295,1,-1,-1,-1
7,2,608,924,639,974,1,-1,-1,-1
7,3,568,876,594,924,1,-1,-1,-1
7,4,559,805,579,841,1,-1,-1,-1
7,5,480,825,505,861,1,-1,-1,-1
7,6,213,903,268,948,1,-1,-1,-1
7,0,41,1522,148,1702,1,-1,-1,-1
7,7,613,1039,664,1126,1,-1,-1,-1
7,9,421,1177,482,1277,1,-1,-1,-1
7,10,394,910,510,1042,1,-1,-1,-1
7,11,367,792,444,864,1,-1,-1,-1
7,12,624,800,692,863,1,-1,-1,-1
8,1,732,1203,801,1311,1,-1,-1,-1
8,2,608,926,639,976,1,-1,-1,-1
8,3,568,878,594,927,1,-1,-1,-1
8,4,558,807,579,843,1,-1,-1,-1
8,5,480,826,505,861,1,-1,-1,-1
8,6,214,904,268,948,1,-1,-1,-1
8,13,614,791,633,821,1,-1,-1,-1
8,0,35,1531,144,1713,1,-1,-1,-1
8,7,614,1044,666,1134,1,-1,-1,-1
8,9,418,1184,481,1285,1,-1,-1,-1
8,10,392,913,509,1046,1,-1,-1,-1
